Symptom,Traditional_Remedies
gastritis,"yastimadhu, arjuna bark, rock salt, black pepper"
measles,"mulethi, ajwain, honey"
bedwetting,"mulethi, camphor"
hernia,"haritaki, bhringraj, kulthi"
kidney stone,"turmeric, sandalwood oil"
palpitations,"bhringraj, fenugreek"
bloating,"rock salt, neem, tulsi"
nausea,"brahmi, arjuna bark, shatavari, ginger"
depression,"daruharidra, coriander, ashwagandha"
shingles,"jatamansi, gokshura"
weak bones,"aloe vera, buttermilk"
burning sensation,"pippali, mint"
anxiety,"licorice root, castor oil, rock salt, manjistha"
weak bones,"garlic, jatamansi, basil"
frequent urination,"camphor, bhringraj, bhumi amla"
burning sensation,"nutmeg, jeera, punarnava, garlic"
indigestion,"onion extract, shatavari"
toothache,"daruharidra, garlic, black pepper, mulethi"
headache,"buttermilk, cardamom, rock salt"
palpitations,"coriander, gokshura, manjistha, til oil"
gastritis,"gotu kola, neem"
nausea,"buttermilk, haritaki"
gallstone,"ashwagandha, honey"
pms symptoms,"ashwagandha, punarnava, guggulu"
gas,"fenugreek, daruharidra, licorice root"
urinary infection,"gokshura, onion extract, honey"
low libido,"castor oil, ginger, tulsi"
sleep apnea,"ghee, kulthi, jeera, jatamansi"
headache,"shatavari, sandalwood oil, cinnamon, bhumi amla"
sinusitis,"gokshura, ajwain, coriander"
frequent urination,"lemongrass, castor oil"
hernia,"ashwagandha, manjistha, fenugreek"
sinusitis,"haritaki, clove, sandalwood oil"
ear discharge,"castor oil, turmeric, coriander"
low libido,"basil, kulthi"
neck pain,"aloe vera, jatamansi"
enlarged liver,"buttermilk, kesar, nutmeg"
frequent urination,"fenugreek, coriander"
migraine,"bhumi amla, brahmi, tulsi, shankhpushpi"
pms symptoms,"bhumi amla, tulsi, amla, mint"
panic attacks,"garlic, yastimadhu, fenugreek"
mouth ulcers,"bhumi amla, garlic"
infertility,"lemongrass, brahmi, daruharidra"
early menopause,"punarnava, kesar, castor oil, arjuna bark"
headache,"haritaki, garlic"
hypopigmentation,"clove, gotu kola, turmeric"
colitis,"cardamom, ashwagandha, garlic"
infertility,"arjuna bark, kulthi, coriander, licorice root"
psoriasis,"shankhpushpi, punarnava"
acne,"mulethi, shankhpushpi"
obesity,"shankhpushpi, sandalwood oil"
toothache,"castor oil, nutmeg, sandalwood oil"
hair greying,"amla, tulsi, kesar, guggulu"
hair fall,"mint, tulsi, onion extract, lemongrass"
hernia,"castor oil, amla, onion extract, punarnava"
heat intolerance,"amla, ghee, haritaki, lemongrass"
body odor,"guggulu, brahmi, camphor"
toothache,"arjuna bark, clove, sandalwood oil, jatamansi"
kidney stone,"yastimadhu, turmeric, honey, cardamom"
colitis,"coriander, shatavari"
hernia,"triphala, nutmeg, clove, castor oil"
throat infection,"mulethi, yastimadhu, licorice root, til oil"
hair greying,"vidarikanda, kesar, arjuna bark"
sweaty palms,"guggulu, cardamom, neem"
vision loss,"ajwain, fenugreek, arjuna bark"
early menopause,"ashwagandha, cinnamon"
lack of focus,"jatamansi, til oil, rock salt, bhringraj"
varicose veins,"fennel, neem, lemongrass"
burning sensation,"black pepper, cinnamon, til oil, turmeric"
fracture pain,"buttermilk, mulethi, clove, jatamansi"
morning sickness,"coriander, fennel, haritaki"
dry cough,"manjistha, kesar, castor oil, jeera"
sciatica,"buttermilk, til oil"
greasy skin,"camphor, lemongrass, mint, til oil"
lack of focus,"guggulu, bhumi amla, mulethi"
pms symptoms,"mulethi, fennel, cardamom"
high blood pressure,"manjistha, honey"
nausea,"cinnamon, sandalwood oil"
fluid retention,"rock salt, vidarikanda, neem, sandalwood oil"
sweaty palms,"neem, coriander"
cold feet,"shankhpushpi, basil, cardamom, fenugreek"
frequent urination,"coriander, sandalwood oil, ajwain"
ear pain,"ajwain, turmeric, camphor"
menstrual cramps,"arjuna bark, punarnava"
panic attacks,"haritaki, neem, kulthi, brahmi"
hernia,"lemongrass, black pepper, triphala"
bedwetting,"cinnamon, lemongrass, sandalwood oil, nutmeg"
excessive hunger,"guggulu, tulsi, onion extract"
fracture pain,"black pepper, tulsi, vidarikanda, fennel"
indigestion,"haritaki, triphala"
hearing loss,"garlic, licorice root"
dark circles,"black pepper, licorice root, mulethi"
measles,"coriander, ashwagandha, buttermilk"
memory loss,"kesar, til oil, gokshura"
menstrual cramps,"amla, haritaki, ashwagandha"
insomnia,"licorice root, sandalwood oil"
chickenpox,"black pepper, manjistha"
hiccups,"brahmi, pippali, neem, jatamansi"
fluid retention,"ghee, aloe vera, ajwain, brahmi"
hot flashes,"ghee, pippali, ajwain, castor oil"
restlessness,"ashwagandha, gotu kola"
appendicitis,"haritaki, punarnava, kulthi"
morning sickness,"shatavari, cinnamon, ginger, ashwagandha"
brittle nails,"neem, pippali, cardamom, punarnava"
mouth ulcers,"vidarikanda, ajwain"
psoriasis,"vidarikanda, guggulu"
acidity,"fennel, camphor, til oil"
low appetite,"arjuna bark, licorice root, garlic"
sensitivity to cold,"castor oil, ghee"
low energy,"ashwagandha, brahmi, tulsi"
bedwetting,"sandalwood oil, ashwagandha"
tremors,"vidarikanda, neem"
skin rash,"coriander, daruharidra, shankhpushpi"
hair greying,"fennel, basil, ajwain"
depression,"fenugreek, coriander"
hepatitis,"aloe vera, haritaki, jatamansi"
morning sickness,"sandalwood oil, ghee, mulethi, gotu kola"
stress,"turmeric, ghee, lemongrass, neem"
hyperpigmentation,"camphor, ghee, onion extract"
colitis,"punarnava, mulethi, gotu kola, kulthi"
blurred vision,"pippali, neem"
pms symptoms,"camphor, shankhpushpi, rock salt, yastimadhu"
itchy eyes,"amla, ashwagandha, pippali"
laryngitis,"cardamom, triphala, til oil, daruharidra"
brittle nails,"ghee, ashwagandha"
hair greying,"clove, shankhpushpi, bhumi amla"
weak bones,"amla, ghee"
shingles,"basil, honey"
shingles,"jeera, ghee"
hair fall,"basil, cardamom"
allergic rhinitis,"punarnava, bhumi amla"
psoriasis,"arjuna bark, cinnamon, gokshura"
brittle nails,"yastimadhu, garlic"
burning sensation,"coriander, aloe vera, haritaki"
eye strain,"guggulu, coriander, garlic, ginger"
irritability,"triphala, lemongrass"
brittle nails,"arjuna bark, brahmi, bhringraj"
frequent urination,"onion extract, mulethi, aloe vera, neem"
weak bones,"arjuna bark, daruharidra, gokshura, shankhpushpi"
cracked heels,"gotu kola, vidarikanda, mint"
measles,"ginger, triphala, cardamom, honey"
neck pain,"shankhpushpi, manjistha, tulsi, bhringraj"
gum bleeding,"daruharidra, onion extract, haritaki, cinnamon"
neck pain,"tulsi, sandalwood oil, honey"
cold feet,"jatamansi, nutmeg, aloe vera"
numbness,"ashwagandha, fenugreek, bhringraj"
vomiting,"fenugreek, nutmeg, daruharidra, black pepper"
low immunity,"ajwain, mint"
itching,"camphor, licorice root"
gastritis,"kesar, ginger, jatamansi"
itchy eyes,"ginger, kulthi, kesar, fennel"
watery eyes,"haritaki, kesar, ginger"
bedwetting,"bhumi amla, bhringraj"
whooping cough,"haritaki, jeera, fennel"
measles,"kulthi, lemongrass"
anxiety,"mint, buttermilk, mulethi, shankhpushpi"
frequent urination,"licorice root, cinnamon"
skin rash,"triphala, nutmeg, honey, tulsi"
dry skin,"pippali, jatamansi"
pms symptoms,"guggulu, brahmi, punarnava"
varicose veins,"neem, lemongrass, onion extract"
early menopause,"sandalwood oil, cinnamon, nutmeg"
headache,"shankhpushpi, buttermilk, mint, lemongrass"
nausea,"turmeric, camphor, til oil"
frequent urination,"kulthi, lemongrass, clove, black pepper"
dry skin,"gotu kola, manjistha, yastimadhu"
asthma,"tulsi, basil, kesar"
chest congestion,"sandalwood oil, honey, yastimadhu, manjistha"
fatigue,"gokshura, rock salt, amla"
swollen ankles,"ginger, bhumi amla, mulethi"
sunburn,"rock salt, arjuna bark"
cold sores,"aloe vera, til oil, fennel, ashwagandha"
lack of focus,"til oil, neem, daruharidra, bhringraj"
hot flashes,"punarnava, ginger"
dry cough,"cinnamon, castor oil, rock salt, brahmi"
dry skin,"castor oil, clove"
sleep apnea,"camphor, licorice root, black pepper, coriander"
enlarged liver,"amla, haritaki, punarnava, cinnamon"
sleep apnea,"coriander, triphala"
underweight,"rock salt, black pepper, honey, cardamom"
low libido,"jatamansi, black pepper"
hyperpigmentation,"haritaki, black pepper, sandalwood oil, manjistha"
cracked heels,"tulsi, aloe vera, jeera, sandalwood oil"
depression,"ashwagandha, fennel, garlic"
cold,"shankhpushpi, haritaki, amla"
eye strain,"camphor, triphala, punarnava"
high blood pressure,"fenugreek, honey, shankhpushpi, pippali"
panic attacks,"fennel, ghee, brahmi, camphor"
burning sensation,"black pepper, jeera, guggulu, bhringraj"
sleep apnea,"ajwain, camphor"
toothache,"cardamom, garlic, fenugreek, punarnava"
measles,"onion extract, garlic, sandalwood oil"
blurred vision,"basil, fennel, fenugreek"
constipation,"turmeric, basil"
low blood pressure,"jatamansi, brahmi"
blurred vision,"daruharidra, lemongrass"
shingles,"neem, jatamansi, licorice root"
heat intolerance,"jatamansi, black pepper"
tremors,"yastimadhu, shankhpushpi, neem"
gallstone,"sandalwood oil, bhumi amla, pippali, haritaki"
obesity,"amla, jatamansi"
vomiting,"manjistha, kesar"
infertility,"lemongrass, ghee, neem"
bloating,"shatavari, honey, daruharidra"
back pain,"guggulu, yastimadhu"
gum bleeding,"ajwain, lemongrass, shatavari, ghee"
liver issues,"licorice root, onion extract"
sore throat,"haritaki, jeera"
ear pain,"sandalwood oil, gotu kola, triphala"
hair fall,"honey, haritaki, bhringraj, gotu kola"
swollen ankles,"til oil, guggulu"
enlarged liver,"til oil, lemongrass"
hair greying,"ginger, nutmeg"
sweaty palms,"cinnamon, jatamansi"
neck pain,"arjuna bark, clove, kulthi, black pepper"
underweight,"til oil, onion extract"
foot pain,"daruharidra, castor oil"
whooping cough,"yastimadhu, manjistha, aloe vera"
sore throat,"kesar, nutmeg"
morning sickness,"licorice root, manjistha, shankhpushpi, neem"
itching,"aloe vera, vidarikanda, ajwain"
measles,"tulsi, castor oil, til oil, jatamansi"
laryngitis,"mulethi, fennel"
bloating,"til oil, haritaki, cardamom, fennel"
colitis,"guggulu, fennel"
back pain,"arjuna bark, pippali"
low immunity,"ginger, yastimadhu"
urinary infection,"gokshura, cardamom, buttermilk"
weak bones,"daruharidra, garlic, onion extract"
body odor,"ghee, triphala"
colitis,"garlic, yastimadhu"
throat infection,"tulsi, castor oil, nutmeg"
hair fall,"rock salt, ashwagandha"
shingles,"fenugreek, ashwagandha, lemongrass"
neck pain,"black pepper, yastimadhu, basil"
rheumatism,"tulsi, jeera"
psoriasis,"neem, amla"
sore throat,"ajwain, basil, gotu kola"
eye strain,"yastimadhu, manjistha, vidarikanda, neem"
stomach cramps,"ghee, mulethi, kulthi"
nausea,"bhumi amla, guggulu, castor oil"
ear pain,"jeera, licorice root, brahmi, coriander"
fever,"arjuna bark, lemongrass, clove"
hot flashes,"clove, guggulu"
cracked heels,"ashwagandha, kesar"
varicose veins,"turmeric, sandalwood oil, shankhpushpi, kesar"
kidney stone,"basil, coriander"
psoriasis,"arjuna bark, jatamansi"
early menopause,"vidarikanda, garlic, nutmeg"
liver issues,"jatamansi, tulsi, haritaki"
migraine,"black pepper, licorice root"
measles,"manjistha, aloe vera, buttermilk, coriander"
sunburn,"camphor, punarnava, nutmeg, gokshura"
bad breath,"shatavari, yastimadhu, camphor, turmeric"
insomnia,"yastimadhu, jeera, jatamansi"
asthma,"jeera, aloe vera, arjuna bark"
fatigue,"garlic, jeera"
nausea,"buttermilk, clove"
high blood pressure,"ashwagandha, mint, nutmeg"
brittle nails,"kesar, arjuna bark"
depression,"castor oil, mulethi"
itchy eyes,"kulthi, clove, basil, fenugreek"
knee pain,"tulsi, onion extract"
stomach cramps,"mulethi, nutmeg, buttermilk"
itching,"shatavari, lemongrass, neem, nutmeg"
hearing loss,"kulthi, gotu kola"
tremors,"triphala, basil"
dark circles,"honey, camphor"
lack of focus,"castor oil, kulthi, shankhpushpi, jeera"
enlarged liver,"buttermilk, haritaki, rock salt"
allergic rhinitis,"castor oil, kesar, jatamansi, garlic"
itchy eyes,"basil, manjistha, turmeric"
sweaty palms,"kesar, camphor, mulethi, fennel"
watery eyes,"rock salt, coriander"
hypopigmentation,"ajwain, guggulu, black pepper, amla"
blurred vision,"gokshura, garlic, bhringraj, triphala"
itching,"honey, ginger"
enlarged liver,"shatavari, gokshura, nutmeg, castor oil"
low immunity,"arjuna bark, ashwagandha, kulthi"
eye strain,"shankhpushpi, gokshura, fenugreek, honey"
allergic rhinitis,"punarnava, ginger"
hot flashes,"shatavari, black pepper, bhringraj, guggulu"
bad breath,"gokshura, ginger, gotu kola, jeera"
dry cough,"haritaki, clove"
hearing loss,"garlic, amla, punarnava, ajwain"
chest congestion,"amla, pippali, bhringraj, daruharidra"
underweight,"licorice root, honey"
gas,"til oil, aloe vera, brahmi, mint"
hernia,"cinnamon, basil, jeera, shatavari"
low energy,"shatavari, bhringraj, shankhpushpi, mint"
sleep apnea,"bhringraj, punarnava, buttermilk"
dry skin,"arjuna bark, til oil, triphala, gotu kola"
sensitivity to cold,"buttermilk, black pepper, sandalwood oil, brahmi"
bedwetting,"shankhpushpi, honey, rock salt"
spleen pain,"ghee, clove, kulthi, cardamom"
cracked heels,"fennel, punarnava, buttermilk, haritaki"
anxiety,"fennel, aloe vera, haritaki"
lack of focus,"rock salt, triphala, shatavari, neem"
burning sensation,"kesar, lemongrass, castor oil, kulthi"
dandruff,"mulethi, arjuna bark, gokshura"
motion sickness,"punarnava, ginger"
restlessness,"nutmeg, amla"
lack of focus,"guggulu, cardamom, fenugreek"
body odor,"basil, amla, pippali, til oil"
back pain,"manjistha, ginger, shatavari, aloe vera"
dark circles,"camphor, brahmi"
cramps,"honey, turmeric"
frequent urination,"nutmeg, garlic, basil, castor oil"
measles,"ajwain, gokshura"
stress,"yastimadhu, ghee, gokshura, manjistha"
itching,"mulethi, basil, buttermilk, ginger"
joint pain,"daruharidra, sandalwood oil, rock salt, clove"
toothache,"fenugreek, bhumi amla, arjuna bark"
enlarged liver,"bhringraj, triphala"
foot pain,"haritaki, amla"
insomnia,"cardamom, basil, jatamansi"
itchy eyes,"kesar, mulethi"
dry eyes,"tulsi, ajwain, gokshura, gotu kola"
acidity,"yastimadhu, ajwain"
rheumatism,"tulsi, guggulu, licorice root, cardamom"
fracture pain,"coriander, honey, nutmeg"
weak bones,"yastimadhu, mulethi, guggulu, ajwain"
itching,"shankhpushpi, manjistha, daruharidra, kesar"
brittle nails,"haritaki, neem"
fluid retention,"bhringraj, castor oil"
itchy eyes,"castor oil, fennel, ginger, licorice root"
neck pain,"kesar, honey"
indigestion,"ajwain, black pepper, amla, bhumi amla"
bronchitis,"fenugreek, black pepper, punarnava, basil"
fever,"til oil, punarnava, fenugreek"
knee pain,"kulthi, castor oil, cardamom, garlic"
dark circles,"mulethi, ginger, kulthi, arjuna bark"
hernia,"til oil, jeera, ajwain, guggulu"
constipation,"vidarikanda, ajwain, daruharidra, mint"
dry eyes,"honey, buttermilk, rock salt"
skin rash,"bhumi amla, turmeric, rock salt, punarnava"
itchy eyes,"daruharidra, ghee, shatavari"
irritability,"tulsi, yastimadhu, honey, cardamom"
insomnia,"lemongrass, brahmi"
tremors,"bhringraj, ghee, til oil"
vomiting,"mint, gokshura, bhumi amla, sandalwood oil"
vision loss,"ashwagandha, haritaki, camphor, bhumi amla"
tremors,"tulsi, rock salt, onion extract"
hair greying,"ghee, shankhpushpi, licorice root"
delayed periods,"ashwagandha, kesar, jatamansi, coriander"
neck pain,"kulthi, ghee, castor oil"
varicose veins,"punarnava, sandalwood oil, ghee, daruharidra"
lack of focus,"triphala, camphor, punarnava"
burning sensation,"kesar, cardamom, arjuna bark"
motion sickness,"buttermilk, tulsi, triphala, kulthi"
low blood pressure,"tulsi, sandalwood oil"
eczema,"turmeric, coriander"
rheumatism,"mulethi, fennel, triphala"
memory loss,"nutmeg, fenugreek, gotu kola"
lack of focus,"mulethi, fennel"
burning sensation,"gokshura, haritaki, kesar"
sore throat,"kesar, yastimadhu"
numbness,"haritaki, amla, lemongrass, cinnamon"
tremors,"ginger, vidarikanda, basil, brahmi"
hot flashes,"jeera, turmeric, clove, mulethi"
shingles,"buttermilk, lemongrass, kesar"
neck pain,"neem, mulethi"
low libido,"basil, clove"
bloating,"punarnava, jatamansi"
hiccups,"gokshura, shatavari, neem"
insomnia,"vidarikanda, kulthi, mint"
hearing loss,"kesar, gokshura, guggulu"
motion sickness,"castor oil, tulsi, amla"
urinary infection,"manjistha, ghee, rock salt"
insomnia,"ginger, brahmi"
fatigue,"amla, lemongrass, ginger"
headache,"fennel, amla, coriander"
itchy eyes,"kesar, basil"
cracked heels,"manjistha, lemongrass"
hair fall,"mulethi, aloe vera, lemongrass, sandalwood oil"
